measured,prediction,time_stamp,lstm_replica_count,hpa_replica_count
90.236,113.45122,1701003600.0,2.0,2.0
124.237,120.44362,1701003615.0,2.0,2.0
109.037,126.80766,1701003630.0,2.0,2.0
103.285,132.82906,1701003645.0,2.0,2.0
105.652,138.48483,1701003660.0,2.0,2.0
69.251,118.57945,1701003675.0,2.0,2.0
113.854,125.05959,1701003690.0,2.0,2.0
113.304,131.26239,1701003705.0,2.0,2.0
108.504,137.08612,1701003720.0,2.0,2.0
110.82,142.4211,1701003735.0,2.0,2.0
112.304,122.29765,1701003750.0,2.0,2.0
115.104,128.63469,1701003765.0,2.0,2.0
114.452,134.63826,1701003780.0,2.0,2.0
113.069,140.26376,1701003795.0,2.0,2.0
114.67,145.40495,1701003810.0,2.0,2.0
110.985,239.23294,1701003825.0,3.0,2.0
111.054,232.55185,1701003840.0,3.0,2.0
198.37,233.43556,1701003855.0,3.0,2.0
262.688,236.42902,1701003870.0,3.0,2.0
251.946,238.11913,1701003885.0,3.0,2.0
258.654,256.15845,1701003900.0,3.0,3.0
262.854,255.5174,1701003915.0,3.0,3.0
255.071,254.78249,1701003930.0,3.0,3.0
259.204,254.25864,1701003945.0,3.0,3.0
256.842,253.6817,1701003960.0,3.0,3.0
257.562,259.32053,1701003975.0,3.0,3.0
253.6,256.65393,1701003990.0,3.0,3.0
237.969,254.70448,1701004005.0,3.0,3.0
255.229,254.2085,1701004020.0,3.0,3.0
260.917,254.02092,1701004035.0,3.0,3.0
261.817,265.94376,1701004050.0,3.0,3.0
262.829,263.91898,1701004065.0,3.0,3.0
263.168,262.53595,1701004080.0,3.0,3.0
266.671,261.64764,1701004095.0,3.0,3.0
268.362,260.8671,1701004110.0,3.0,3.0
264.483,259.75113,1701004125.0,3.0,3.0
262.408,259.3938,1701004140.0,3.0,3.0
271.408,259.24744,1701004155.0,3.0,3.0
267.562,258.57098,1701004170.0,3.0,3.0
260.862,257.61124,1701004185.0,3.0,3.0
259.325,243.3959,1701004200.0,3.0,3.0
263.246,245.4744,1701004215.0,3.0,3.0
257.823,247.20958,1701004230.0,3.0,3.0
265.953,247.74757,1701004245.0,3.0,3.0
242.409,247.00418,1701004260.0,3.0,3.0
210.702,240.70987,1701004275.0,3.0,3.0
263.482,243.17854,1701004290.0,3.0,3.0
259.238,245.23038,1701004305.0,3.0,3.0
262.566,245.91476,1701004320.0,3.0,3.0
241.321,245.32114,1701004335.0,3.0,3.0
252.196,251.23407,1701004350.0,3.0,3.0
196.887,244.4941,1701004365.0,3.0,3.0
124.8,238.8312,1701004380.0,3.0,3.0
237.334,239.87296,1701004395.0,3.0,3.0
255.408,241.64774,1701004410.0,3.0,3.0
261.066,258.74963,1701004425.0,3.0,3.0
260.662,257.74524,1701004440.0,3.0,3.0
260.191,256.88058,1701004455.0,3.0,3.0
259.275,256.1464,1701004470.0,3.0,3.0
259.808,255.50844,1701004485.0,3.0,3.0
261.287,257.8108,1701004500.0,3.0,3.0
267.662,257.18622,1701004515.0,3.0,3.0
257.145,256.2414,1701004530.0,3.0,3.0
258.746,255.50218,1701004545.0,3.0,3.0
258.27,254.85509,1701004560.0,3.0,3.0
266.079,257.66382,1701004575.0,3.0,3.0
258.027,256.6359,1701004590.0,3.0,3.0
258.658,255.74844,1701004605.0,3.0,3.0
256.729,255.00998,1701004620.0,3.0,3.0
258.308,254.44249,1701004635.0,3.0,3.0
259.928,259.40573,1701004650.0,3.0,3.0
262.588,258.53973,1701004665.0,3.0,3.0
263.537,257.63284,1701004680.0,3.0,3.0
257.883,256.72882,1701004695.0,3.0,3.0
260.341,256.04715,1701004710.0,3.0,3.0
258.941,268.5533,1701004725.0,3.0,3.0
261.72,265.73074,1701004740.0,3.0,3.0
261.92,263.64886,1701004755.0,3.0,3.0
259.75,262.38397,1701004770.0,3.0,3.0
271.238,261.75613,1701004785.0,3.0,3.0
